treatment	id	game	period	choice	other_choice	session
Control	51	27	5	c	d	contr_1
Control	51	27	6	d	c	contr_1
Control	52	1	1	c	d	contr_1
Control	52	1	2	d	c	contr_1
Control	52	1	3	d	d	contr_1
Control	52	1	4	d	c	contr_1
Control	52	1	5	c	d	contr_1
Control	52	1	6	d	d	contr_1
Control	52	1	7	d	c	contr_1
Control	52	1	8	d	d	contr_1
Control	52	1	9	c	c	contr_1
Control	52	1	10	c	d	contr_1
Control	52	1	11	d	c	contr_1
Control	52	1	12	c	d	contr_1
Control	52	1	13	c	d	contr_1
Control	52	1	14	c	c	contr_1
Control	52	2	1	d	c	contr_1
Control	52	2	2	c	d	contr_1
Control	52	2	3	d	d	contr_1
Control	52	2	4	d	d	contr_1
Control	52	2	5	d	d	contr_1
Control	52	2	6	d	c	contr_1
Control	52	2	7	d	d	contr_1
Control	52	2	8	c	d	contr_1
Control	52	3	1	c	c	contr_1
Control	52	3	2	d	c	contr_1
Control	52	3	3	d	d	contr_1
Control	52	4	1	c	c	contr_1
Control	52	5	1	d	c	contr_1
Control	52	5	2	d	c	contr_1
Control	52	5	3	c	c	contr_1
Control	52	6	1	d	c	contr_1
Control	52	7	1	d	d	contr_1
Control	52	7	2	d	d	contr_1
Control	52	7	3	d	d	contr_1
Control	52	7	4	d	d	contr_1
Control	52	7	5	d	d	contr_1
Control	52	7	6	d	d	contr_1
Control	52	7	7	c	d	contr_1
Control	52	7	8	d	d	contr_1
Control	52	7	9	d	d	contr_1
Control	52	7	10	d	d	contr_1
Control	52	7	11	d	d	contr_1
Control	52	8	1	d	c	contr_1
Control	52	8	2	c	d	contr_1
Control	52	8	3	d	c	contr_1
Control	52	9	1	c	d	contr_1
Control	52	9	2	d	d	contr_1
Control	52	9	3	d	d	contr_1
Control	52	10	1	d	d	contr_1
Control	52	11	1	c	d	contr_1
Control	52	12	1	d	c	contr_1
Control	52	12	2	d	d	contr_1
Control	52	13	1	c	d	contr_1
Control	52	13	2	d	d	contr_1
Control	52	14	1	d	c	contr_1
Control	52	14	2	d	d	contr_1
Control	52	14	3	c	d	contr_1
Control	52	14	4	d	c	contr_1
Control	52	15	1	d	d	contr_1
Control	52	16	1	c	d	contr_1
Control	52	16	2	d	d	contr_1
Control	52	16	3	d	d	contr_1
Control	52	16	4	d	d	contr_1
Control	52	17	1	c	d	contr_1
Control	52	17	2	d	d	contr_1
Control	52	17	3	d	d	contr_1
Control	52	17	4	d	d	contr_1
Control	52	17	5	d	d	contr_1
Control	52	17	6	d	d	contr_1
Control	52	17	7	d	d	contr_1
Control	52	17	8	c	d	contr_1
Control	52	17	9	c	d	contr_1
Control	52	17	10	d	d	contr_1
Control	52	17	11	d	d	contr_1
Control	52	18	1	d	c	contr_1
Control	52	19	1	c	c	contr_1
Control	52	19	2	c	c	contr_1
Control	52	19	3	c	c	contr_1
Control	52	19	4	c	c	contr_1
Control	52	20	1	c	d	contr_1
Control	52	21	1	c	d	contr_1
Control	52	21	2	c	c	contr_1
Control	52	22	1	c	d	contr_1
Control	52	22	2	c	d	contr_1
Control	52	22	3	c	d	contr_1
Control	52	22	4	c	d	contr_1
Control	52	22	5	d	d	contr_1
Control	52	23	1	c	d	contr_1
Control	52	23	2	d	c	contr_1
Control	52	23	3	c	c	contr_1
Control	52	24	1	c	d	contr_1
Control	52	24	2	c	d	contr_1
Control	52	24	3	d	d	contr_1
